ime,rating,mesto,drzava,age,total_games,winrate_win,winrate_draw,winrate_loss
Magnus Carlsen,2861,1,Norway,32,3651,46,39,15
Ding Liren,2808,2,China,30,1668,34,48,18
Ian Nepomniachtchi,2792,3,Russia,32,2855,39,41,20
Alireza Firouzja,2778,4,France,19,1310,50,28,22
Wesley So,2771,5,United,29,2773,38,46,16
Hikaru Nakamura,2768,6,United,35,4692,48,35,17
Anish Giri,2764,7,Netherlands,28,2614,31,50,19
Levon Aronian,2759,8,United,40,3883,34,47,19
Fabiano Caruana,2758,9,United,30,3167,40,38,22
Shakhriyar Mamedyarov,2758,9,Azerbaijan,37,3584,38,41,21
Maxime Vachier-Lagrave,2757,11,France,32,3493,38,45,17
Viswanathan Anand,2756,12,India,53,4179,36,50,14
Richard Rapport,2754,13,Hungary,26,1581,42,38,20
Sergey Karjakin,2747,14,Russia,33,3154,36,45,19
Teimour Radjabov,2747,14,Azerbaijan,35,2238,30,53,17
Alexander Grischuk,2745,16,FIDE,39,3914,38,44,18
Leinier Dominguez Perez,2745,16,United,39,2241,34,47,19
Wang Hao,2736,18,China,33,1957,39,43,18
Jan-Krzysztof Duda,2731,19,Poland,24,1795,43,35,22
Dmitry Andreikin,2729,20,FIDE,33,2892,46,38,16
Veselin Topalov,2728,21,Bulgaria,47,2646,33,44,23
Le Quang Liem,2728,21,Vietnam,31,2124,44,37,19
Wei Yi,2727,23,China,23,1393,38,43,19
Gukesh D,2725,24,India,16,835,43,28,29
Nikita Vitiugov,2722,25,FIDE,36,1944,38,48,14
Parham Maghsoodloo,2717,26,Iran,22,1484,49,29,22
Pentala Harikrishna,2716,27,India,36,2443,35,47,18
Samuel Shankland,2713,28,United,31,1325,36,42,22
Francisco Vallejo Pons,2711,29,Spain,40,2625,39,40,21
Gabriel Sargissian,2711,29,Armenia,39,1924,38,48,14
Vidit Santosh Gujrathi,2710,31,India,28,1819,41,40,19
Bogdan-Daniel Deac,2710,31,Romania,21,1390,48,32,20
Radoslaw Wojtaszek,2709,33,Poland,36,2302,41,44,15
Bu Xiangzhi,2709,33,China,37,1802,39,48,13
Yu Yangyi,2708,35,China,28,1768,42,44,14
Kirill Alekseenko,2707,36,Russia,25,1456,48,27,25
Vladislav Artemiev,2706,37,Russia,24,1851,47,37,16
Nodirbek Abdusattorov,2704,38,Uzbekistan,18,1187,46,30,24
Evgeny Tomashevsky,2703,39,Russia,35,1759,33,54,13
Sanan Sjugirov,2703,39,Russia,30,2288,45,34,21
Arjun Erigaisi,2703,39,India,19,1026,46,30,24
Daniil Dubov,2702,42,Russia,26,2190,42,38,20
Alexei Shirov,2701,43,Spain,50,4465,43,40,17
Michael Adams,2696,44,England,51,3500,38,47,15
Matthew D Sadler,2694,45,England,48,997,48,37,15
