id,ime_beli,ime_crni,rating_beli,rating_crni,rezultat,rating_spr,poteze,st_potez,leto,underdog,pravi_underdog
16166143,Magnus Carlsen,Anish Giri,2864,2761,1,3.5596614617770737,1. d4 Nf6 2. c4 e6 3. Nf3 d5,34,2022,0,0
16166179,Magnus Carlsen,Maxime Vachier-Lagrave,2832,2813,1,4.72684026993507,1. d4 Nf6 2. c4 g6 3. Nc3 d5,54,2022,0,0
16166191,Magnus Carlsen,Shakhriyar Mamedyarov,2864,2751,1,3.428813135129214,1. Nf3 d5 2. g3 g6 3. Bg2 Bg7,56,2022,0,0
16166465,Magnus Carlsen,Wang Hao,2864,2744,1,3.3386057541687784,1. d4 Nf6 2. c4 e6 3. Nf3 d5,42,2022,0,0
16166485,Magnus Carlsen,Teimour Radjabov,2864,2753,1,3.45480005617534,1. d4 Nf6 2. c4 e6 3. Nf3 d5,36,2022,0,0
16212225,Magnus Carlsen,Dambasuren Batsuren,2864,2518,1,1.200733119893831,1. Nf3 Nf6 2. c4 e6 3. d4 d5,30,2022,0,0
16213517,Magnus Carlsen,Georg Meier,2864,2613,1,1.9079200251416195,1. e4 e6 2. d4 d5 3. Nc3 dxe4,80,2022,0,0
16219147,Magnus Carlsen,Zvonko Stanojoski,2864,2412,1,0.6901488036818271,1. d4 d5 2. Bf4 e6 3. e3 Nf6,69,2022,0,0
16231361,Magnus Carlsen,Anish Giri,2834,2721,1,3.428813135129214,1. d4 Nf6 2. Nf3 g6 3. Bg5 Bg7,30,2022,0,0
16231805,Magnus Carlsen,Hans Moke Niemann,2834,2529,1,1.4732704794388862,1. a3 d5 2. d4 Nf6 3. Nf3 Bf5,72,2022,0,0
16232253,Magnus Carlsen,Hans Moke Niemann,2834,2529,0,-8.526729520561114,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6,42,2022,1,1
16166207,Magnus Carlsen,Maxime Vachier-Lagrave,2864,2760,0.5,-1.453524504393825,1. d4 Nf6 2. c4 g6 3. Nc3 d5,79,2022,1,1
16166549,Magnus Carlsen,Wang Hao,2864,2744,0.5,-1.6613942458312214,1. Nf3 d5 2. g3 Nd7 3. d4 Nb6,47,2022,1,1
16221373,Magnus Carlsen,Jergus Pechac,2864,2587,0.5,-3.312539156520465,1. c4 e5 2. e3 Nf6 3. Nc3 Nc6,42,2022,1,1
16223765,Magnus Carlsen,Ivan Schitco,2864,2509,0.5,-3.8529367605407883,1. Nf3 Nf6 2. g3 d5 3. Bg2 e6,45,2022,1,1
16231225,Magnus Carlsen,Anish Giri,2834,2721,0.5,-1.571186864870786,1. e4 c5 2. Nf3 d6 3. d4 cxd4,33,2022,1,1
16234073,Magnus Carlsen,Levon Aronian,2834,2728,0.5,-1.4798301325030572,1. d4 Nf6 2. Nf3 g6 3. c4 Bg7,68,2022,1,1
16234153,Magnus Carlsen,Levon Aronian,2834,2728,0.5,-1.4798301325030572,1. Nf3 Nf6 2. c4 g6 3. Nc3 Bg7,43,2022,1,1
16166163,Aryan Tari,Magnus Carlsen,2567,2832,1,8.21341471737012,1. e4 b6 2. d4 Bb7 3. Nc3 d6,37,2022,1,1
16166199,Viswanathan Anand,Magnus Carlsen,2728,2832,1,6.453524504393824,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,50,2022,1,1
16166471,Wesley So,Magnus Carlsen,2766,2864,1,6.374083767444844,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,50,2022,1,0
16217141,Gillan Bwalya,Magnus Carlsen,2396,2864,0,-0.6332687531094792,1. d4 Nf6 2. c4 e6 3. Nc3 d5,26,2022,0,0
